,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE,72_RANK,72_UPTAKE
0,CEREBRAL_WHITE_MATTER,1.736535486203878,CTX_FRONTALPOLE,2.4092251647933356,CTX_ROSTRALMIDDLEFRONTAL,2.7092784127879255,CTX_ROSTRALMIDDLEFRONTAL,2.550291227703785,CTX_ROSTRALMIDDLEFRONTAL,2.3391504672384196,BRAIN_STEM,1.5595920703182862,CTX_PERICALCARINE,2.5497754363491594,CTX_LATERALOCCIPITAL,1.6452731466051609,CTX_PARSORBITALIS,1.79831400407818,CEREBRAL_WHITE_MATTER,1.5789709703798842,CEREBRAL_WHITE_MATTER,1.6256805108429628,CTX_ROSTRALMIDDLEFRONTAL,1.5890953332807982,CEREBRAL_WHITE_MATTER,1.7384283050996978,CTX_ROSTRALMIDDLEFRONTAL,2.048652333806008,CEREBRAL_WHITE_MATTER,1.7747198907229667
1,CEREBELLUM_WHITE_MATTER,1.6798516138855262,CTX_PARSORBITALIS,2.226598457462549,CTX_FRONTALPOLE,2.5913399293555432,CTX_FRONTALPOLE,2.4650851970696266,CTX_FRONTALPOLE,2.281348624842046,VENTRALDC,1.5031093765666679,CTX_LATERALOCCIPITAL,2.543918527007121,CEREBRAL_WHITE_MATTER,1.5506721975147502,CEREBRAL_WHITE_MATTER,1.6669340202524021,CEREBELLUM_WHITE_MATTER,1.5208904713897893,CEREBELLUM_WHITE_MATTER,1.6132168459113756,CEREBRAL_WHITE_MATTER,1.5826843958088372,CTX_PARSTRIANGULARIS,1.601147500187176,CTX_MEDIALORBITOFRONTAL,2.0256599837154687,CEREBELLUM_WHITE_MATTER,1.768799108009136
2,BRAIN_STEM,1.6409792491788162,CTX_ROSTRALMIDDLEFRONTAL,2.1734970991122,CTX_PRECUNEUS,2.5364792391255304,CTX_PARSORBITALIS,2.3632146413488937,CTX_PARSORBITALIS,2.240836769176715,CEREBRAL_WHITE_MATTER,1.4883228859649449,CTX_SUPERIORPARIETAL,2.345079432593338,CEREBELLUM_WHITE_MATTER,1.510595175536869,CTX_ROSTRALMIDDLEFRONTAL,1.6450709637089056,BRAIN_STEM,1.5146300710768132,BRAIN_STEM,1.5794695328611563,CTX_PRECUNEUS,1.572609562806337,CTX_POSTCENTRAL,1.5646278095892845,CTX_ROSTRALANTERIORCINGULATE,1.9920443726871837,BRAIN_STEM,1.677193627967327
3,VENTRALDC,1.569213721709759,CTX_PARSTRIANGULARIS,2.008950972600708,CTX_PARSORBITALIS,2.4908875287782077,CTX_CAUDALMIDDLEFRONTAL,2.320700167134211,CTX_PRECUNEUS,2.2150702897683354,CEREBELLUM_WHITE_MATTER,1.4733979599491298,CTX_CUNEUS,2.2978501659341553,BRAIN_STEM,1.5079715988638729,CTX_FRONTALPOLE,1.6369612125348147,CTX_PARSORBITALIS,1.446005140791814,VENTRALDC,1.4895524509792124,CEREBELLUM_WHITE_MATTER,1.571081044028544,CEREBELLUM_WHITE_MATTER,1.5639144709979256,CTX_PARSORBITALIS,1.9791591189538675,VENTRALDC,1.6228065105811407
4,PALLIDUM,1.218834748367892,CTX_MEDIALORBITOFRONTAL,1.9877935972613427,CTX_PARSTRIANGULARIS,2.4377832137271613,CTX_PARSTRIANGULARIS,2.283704467039227,CTX_BANKSSTS,2.130862547385069,CTX_CAUDALANTERIORCINGULATE,1.3762315662141078,CTX_INFERIORPARIETAL,2.234566621111954,CTX_CUNEUS,1.4989449843091613,CEREBELLUM_WHITE_MATTER,1.6218078581523767,VENTRALDC,1.4087836473904678,CTX_PARSORBITALIS,1.2363653701645974,CTX_PARSORBITALIS,1.5677499249113038,BRAIN_STEM,1.517083960438547,CTX_LATERALORBITOFRONTAL,1.9676716752415297,CTX_TRANSVERSETEMPORAL,1.2519077885148782
5,CTX_PARSORBITALIS,1.187745050154418,CTX_PRECUNEUS,1.985531549916291,CTX_CAUDALMIDDLEFRONTAL,2.425524731352534,CTX_PARSOPERCULARIS,2.1758363488907673,CTX_INFERIORPARIETAL,2.1295469778729963,CTX_PARACENTRAL,1.2674810698832468,CTX_ROSTRALMIDDLEFRONTAL,2.228301678901449,CTX_PARSORBITALIS,1.4943140497728713,CTX_LATERALORBITOFRONTAL,1.617447738320872,CTX_FRONTALPOLE,1.3599412654121368,PALLIDUM,1.1772359619870738,CTX_SUPERIORPARIETAL,1.5409290602672694,CTX_PARACENTRAL,1.510376276025301,CTX_TRANSVERSETEMPORAL,1.9459545496906467,CTX_ROSTRALANTERIORCINGULATE,1.2233674613972154
6,CTX_LATERALORBITOFRONTAL,1.1763466841370416,CTX_LATERALORBITOFRONTAL,1.9852112091999305,CTX_SUPERIORPARIETAL,2.3893815414507897,CTX_SUPERIORFRONTAL,2.151090844088101,CTX_MEDIALORBITOFRONTAL,2.1210332334955098,CTX_POSTERIORCINGULATE,1.2571201850647347,CTX_BANKSSTS,2.2080145139027207,CTX_SUPERIORPARIETAL,1.4562349001746562,BRAIN_STEM,1.6126453632979387,CTX_LATERALOCCIPITAL,1.3181949260127142,CTX_LATERALORBITOFRONTAL,1.1170618057508768,BRAIN_STEM,1.5348592033660422,CTX_PARSORBITALIS,1.5073667567324827,CTX_PRECUNEUS,1.9452726065853532,THALAMUS_PROPER,1.216149065958585
7,THALAMUS_PROPER,1.174178922159498,CTX_ISTHMUSCINGULATE,1.881736200496746,CTX_INFERIORPARIETAL,2.3645499241903782,CTX_SUPRAMARGINAL,2.0842683695777655,CTX_PARSTRIANGULARIS,2.1161286908720007,CTX_TRANSVERSETEMPORAL,1.253848280646405,CTX_PRECUNEUS,2.1929887731531714,VENTRALDC,1.4326817211976821,CTX_ROSTRALANTERIORCINGULATE,1.5805742800316573,CTX_POSTCENTRAL,1.238409514435029,CTX_FRONTALPOLE,1.097028033625678,CTX_FRONTALPOLE,1.5255377623023108,CTX_PRECENTRAL,1.4783979302171582,CTX_CAUDALANTERIORCINGULATE,1.932459178820859,PALLIDUM,1.2012840037677315
8,CTX_TRANSVERSETEMPORAL,1.1255423151801873,CTX_INFERIORPARIETAL,1.8619692366654188,CTX_POSTCENTRAL,2.33584941487345,CTX_CAUDALANTERIORCINGULATE,2.0514087005001005,CTX_LATERALORBITOFRONTAL,2.1080912247625347,CTX_PARSTRIANGULARIS,1.2335115351289505,CTX_PARSORBITALIS,2.1744281184198706,CTX_INFERIORPARIETAL,1.3903213441086402,CTX_PARSTRIANGULARIS,1.543872038756235,CTX_LATERALORBITOFRONTAL,1.2106804976487084,CTX_LATERALOCCIPITAL,1.0962786231107002,CTX_PARSTRIANGULARIS,1.5049194954561058,VENTRALDC,1.460492763134517,CTX_PARSOPERCULARIS,1.9069913658392037,CTX_PARACENTRAL,1.1993275288771248
9,CTX_ROSTRALANTERIORCINGULATE,1.041205921083612,CTX_ROSTRALANTERIORCINGULATE,1.860595035043235,CTX_PARACENTRAL,2.316945245261158,CTX_INFERIORPARIETAL,2.037412379231142,CTX_CAUDALMIDDLEFRONTAL,2.0937662101486008,CTX_PARSORBITALIS,1.2322182628654277,CTX_CAUDALMIDDLEFRONTAL,2.1419498981596505,CTX_INFERIORTEMPORAL,1.3896749000698843,VENTRALDC,1.5281050621543768,CTX_ROSTRALMIDDLEFRONTAL,1.205152351543641,CTX_PARACENTRAL,1.0930953601538937,CTX_INFERIORPARIETAL,1.488787832155122,CTX_ROSTRALMIDDLEFRONTAL,1.4421657009553521,CTX_CAUDALMIDDLEFRONTAL,1.9047419548867692,CTX_TEMPORALPOLE,1.1864215586028992
10,CTX_TEMPORALPOLE,1.0404441472477965,CTX_BANKSSTS,1.8572586748548012,CTX_SUPERIORFRONTAL,2.3093114451267227,CTX_LATERALORBITOFRONTAL,2.0353571421722005,CTX_SUPERIORPARIETAL,2.083009045756024,CTX_CAUDALMIDDLEFRONTAL,1.228213246301333,CTX_FRONTALPOLE,2.1326316506837646,CTX_LATERALORBITOFRONTAL,1.381947115377849,CTX_MEDIALORBITOFRONTAL,1.5101471746996473,CTX_PARSTRIANGULARIS,1.20128634461474,THALAMUS_PROPER,1.0903003808916578,VENTRALDC,1.4766859061502187,CTX_CAUDALMIDDLEFRONTAL,1.399597346089388,CTX_PARSTRIANGULARIS,1.9007992742434248,CTX_LATERALORBITOFRONTAL,1.1179481619876124
11,CTX_MEDIALORBITOFRONTAL,1.0395252678146287,CTX_PARSOPERCULARIS,1.803038326746364,CTX_SUPRAMARGINAL,2.2885532199269627,CTX_POSTERIORCINGULATE,1.967082572485985,CTX_PARSOPERCULARIS,2.0133464096930442,CTX_POSTCENTRAL,1.223426615035464,CTX_POSTCENTRAL,2.0851433734934437,CTX_PRECUNEUS,1.3440280589523916,CTX_PARSOPERCULARIS,1.490939086665432,CTX_SUPERIORPARIETAL,1.1950850034283496,CTX_PARSTRIANGULARIS,1.080560737073112,CTX_CAUDALMIDDLEFRONTAL,1.4723256764630257,CTX_PARSOPERCULARIS,1.3736429099395109,CTX_SUPERIORFRONTAL,1.8933985924577166,CTX_CAUDALANTERIORCINGULATE,1.109538955994109
12,CTX_PARSTRIANGULARIS,1.0378201840974963,CTX_SUPERIORFRONTAL,1.7567173530490652,CTX_PARSOPERCULARIS,2.2735920876985594,CTX_SUPERIORPARIETAL,1.9575145498793123,CTX_ROSTRALANTERIORCINGULATE,2.0108057085997793,CTX_ROSTRALANTERIORCINGULATE,1.2188159234294198,CTX_INFERIORTEMPORAL,2.0500056155790185,CTX_FUSIFORM,1.312962017893376,CTX_CAUDALANTERIORCINGULATE,1.4482153572162686,CTX_PRECENTRAL,1.167940983627288,CTX_TEMPORALPOLE,1.0627060056696518,CTX_LATERALORBITOFRONTAL,1.470563210070552,CTX_FRONTALPOLE,1.36952670211496,CTX_POSTERIORCINGULATE,1.8412838059668988,CTX_PARSORBITALIS,1.0777380498914582
13,CTX_CAUDALANTERIORCINGULATE,1.0337234359000342,CTX_CAUDALMIDDLEFRONTAL,1.7565364006869817,CTX_BANKSSTS,2.2496317974981612,CTX_PRECUNEUS,1.9214060303590208,CTX_INFERIORTEMPORAL,2.003833938127103,THALAMUS_PROPER,1.2142352997514763,CTX_LINGUAL,2.0392360430789505,CTX_BANKSSTS,1.2825058635950626,CTX_CAUDALMIDDLEFRONTAL,1.429740480453678,CTX_PARACENTRAL,1.1516311817128622,CTX_POSTCENTRAL,1.056494347356474,CTX_BANKSSTS,1.4617932953718473,CTX_SUPRAMARGINAL,1.3258085029889963,CTX_BANKSSTS,1.8147806526921249,CAUDATE,1.0591004005948659
14,CTX_PARACENTRAL,1.0224862620958712,CTX_POSTERIORCINGULATE,1.7471737493697945,CTX_CAUDALANTERIORCINGULATE,2.226299971167807,CTX_MEDIALORBITOFRONTAL,1.9117685303881906,CTX_SUPERIORFRONTAL,1.9978119299288706,CTX_PRECENTRAL,1.2061105390922073,CTX_PARSTRIANGULARIS,2.0277644305950333,CTX_FRONTALPOLE,1.2464033996050776,CTX_SUPERIORFRONTAL,1.4157268213878456,CTX_INFERIORPARIETAL,1.1424634275697818,CTX_PRECENTRAL,1.0347585776983268,CTX_SUPRAMARGINAL,1.4574008804035523,CTX_LATERALOCCIPITAL,1.30965478985126,CTX_ISTHMUSCINGULATE,1.7711172198511655,CTX_MEDIALORBITOFRONTAL,1.041927020773683
15,CTX_PARSOPERCULARIS,1.0103116853922913,CTX_SUPRAMARGINAL,1.7384883233141137,CTX_LATERALORBITOFRONTAL,2.225982389537818,CTX_ROSTRALANTERIORCINGULATE,1.8776280578862823,CTX_SUPRAMARGINAL,1.9783813288059968,CTX_ISTHMUSCINGULATE,1.1955362832196272,CTX_TRANSVERSETEMPORAL,2.02653589282243,CTX_PERICALCARINE,1.246227719698094,CTX_TEMPORALPOLE,1.241830195125694,CTX_CAUDALMIDDLEFRONTAL,1.1289378361177913,CTX_ROSTRALMIDDLEFRONTAL,1.0261124104924608,CTX_CAUDALANTERIORCINGULATE,1.449325185798919,CTX_SUPERIORPARIETAL,1.2651712214966329,CTX_FRONTALPOLE,1.7236271361523434,CTX_PRECUNEUS,0.9835636928787302
16,CTX_SUPERIORFRONTAL,0.9773943887654053,CTX_MIDDLETEMPORAL,1.727571059332696,CTX_POSTERIORCINGULATE,2.2182687949539077,CTX_POSTCENTRAL,1.8063768018289077,CTX_ISTHMUSCINGULATE,1.9582177836891679,CTX_ROSTRALMIDDLEFRONTAL,1.1903767714932345,CTX_SUPRAMARGINAL,2.0168787959638785,CTX_PARSTRIANGULARIS,1.24469899966625,CTX_SUPRAMARGINAL,1.208554828855152,PALLIDUM,1.118129309805741,CTX_CUNEUS,1.012416685895257,CTX_POSTERIORCINGULATE,1.4468845535012185,CTX_INFERIORPARIETAL,1.2437673763976174,CTX_PARACENTRAL,1.7182490555245589,CTX_CUNEUS,0.9668657135400387
